Provider	Provider Country	Vendor Identifier	UPC	ISRC	Artist / Show	Title / Episode / Season	Label/Studio/Network	Product Type Identifier	Units	Royalty Price	Begin Date	End Date	Customer Currency	Country Code	Royalty Currency	Preorder	Season Pass	ISAN	Apple Identifier	Customer Price	CMA
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	2	0	20080802	20080802	EUR	FI	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	7	1	0	20080802	20080802	CAD	CA	CAD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	4	0	20080802	20080802	DKK	DK	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	13	0	20080802	20080802	CHF	CH	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	2	0	20080802	20080802	NZD	NZ	AUD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	2	0	20080802	20080802	USD	TW	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080802	20080802	EUR	SK	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	7	0	20080802	20080802	EUR	NL	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	44	0	20080802	20080802	CAD	CA	CAD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	36	0	20080802	20080802	AUD	AU	AUD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	7	0	20080802	20080802	USD	HK	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	5	0	20080802	20080802	USD	SG	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	4	0	20080802	20080802	USD	CN	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080802	20080802	USD	IN	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	13	0	20080802	20080802	MXN	MX	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	2	0	20080802	20080802	USD	TR	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080802	20080802	EUR	SI	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	26	0	20080802	20080802	EUR	FR	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	71	0	20080802	20080802	GBP	GB	GBP	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080802	20080802	EUR	GR	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	48	0	20080802	20080802	EUR	IT	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	2	0	20080802	20080802	USD	ZA	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	2	0	20080802	20080802	USD	ID	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	7	0	20080802	20080802	EUR	AT	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	9	0	20080802	20080802	EUR	BE	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	1	0	20080802	20080802	EUR	LU	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	12	0	20080802	20080802	EUR	ES	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	10	0	20080802	20080802	SEK	SE	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	5	0	20080802	20080802	NOK	NO	EUR	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	427	0	20080802	20080802	USD	US	USD	 	 	 	285823926	0	 
APPLE	US	101010	 	 	Flying Monkey Enterprises	iResist	 	1	29	0	20080802	20080802	JPY	JP	JPY	 	 	 	285823926	0	 
